ID DECLARATION;TYPE DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE DECLARATION;MOIS DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d;mois_annee_decla
36717;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;58 rue Saint-Lambert, 75015 PARIS;75015;Paris 15;15;VAUGIRARD - PARC DES EXPOSITIONS;2022-06-13;2022;6;Page DMR Paris.fr;;S2022F036717;"{""coordinates"": [2.2931554010940562, 48.83635299999365], ""type"": ""Point""}";48.83635299999365,2.2931554010940562;2022-06
36011;Arbres, végétaux et animaux;Herbes éparses;1 Rue Firmin Gémier, 75018 PARIS;75018;Paris 18;18;GRANDES CARRIERES - CLICHY;2022-06-13;2022;6;IOPage DMR Paris.fr application;DPE-STPP-DT;A2022F036011;"{""coordinates"": [2.329799399488834, 48.89459600251877], ""type"": ""Point""}";48.89459600251877,2.329799399488834;2022-06
73150;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;17 Rue Pétion, 75011 PARIS;75011;Paris 11;11;LEON BLUM - FOLIE-REGNAULT;2022-06-27;2022;6;IOPage DMR Paris.fr application;DEVE-SAB;A2022F073150;"{""coordinates"": [2.381157993918422, 48.8589549952984], ""type"": ""Point""}";48.8589549952984,2.381157993918422;2022-06
11535;Arbres, végétaux et animaux;Présence de rats;6 rue de la Banque, 75002 PARIS;75001;Paris 1;2;VIVIENNE - GAILLON;2022-05-05;2022;5;Page DMR Paris.fr;DASES;S2022E011535;"{""coordinates"": [2.3403230057692856, 48.86660799795279], ""type"": ""Point""}";48.86660799795279,2.3403230057692856;2022-05
69737;Arbres, végétaux et animaux;Herbes éparses;19Z Rue Hélène Brion, 75013 PARIS;75013;Paris 13;13;BIBLIOTHEQUE - SEINE;2022-04-29;2022;4;Androï;DPE-STPP-DT;G2022D069737;"{""coordinates"": [2.3812006052690196, 48.82821699489791], ""type"": ""Point""}";48.82821699489791,2.3812006052690196;2022-04
15606;Arbres, végétaux et animaux;Présence de rats;1 rue du Nil, 75002 PARIS;75001;Paris 1;2;SENTIER - BONNE NOUVELLE;2022-05-06;2022;5;IOPage DMR Paris.fr application;DASES;A2022E015606;"{""coordinates"": [2.3483020015208917, 48.867812995628746], ""type"": ""Point""}";48.867812995628746,2.3483020015208917;2022-05
47124;Arbres, végétaux et animaux;Présence de rats;10 route de la Tourelle, 75012 PARIS;75012;Paris 12;12;VALLEE DE FECAMP;2022-06-17;2022;6;Page DMR Paris.fr;DASES;S2022F047124;"{""coordinates"": [2.4476895024637213, 48.8204079970584], ""type"": ""Point""}";48.8204079970584,2.4476895024637213;2022-06
67139;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;21P Cité Industrielle, 75011 PARIS;75011;Paris 11;11;LEON BLUM - FOLIE-REGNAULT;2022-06-25;2022;6;Androï;DEVE-SAB;G2022F067139;"{""coordinates"": [2.3808153061019035, 48.85891299487755], ""type"": ""Point""}";48.85891299487755,2.3808153061019035;2022-06
50745;Arbres, végétaux et animaux;Herbes éparses;29 Rue de la Montagne de l'Esperou, 75015 PARIS;75015;Paris 15;15;CITROEN - BOUCICAUT;2022-06-19;2022;6;Androï;DPE-STPP-DT;G2022F050745;"{""coordinates"": [2.2767223980841416, 48.841869995080074], ""type"": ""Point""}";48.841869995080074,2.2767223980841416;2022-06
2940;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;119 Boulevard Ney, 75018 PARIS;75018;Paris 18;18;MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT;2022-05-02;2022;5;IOPage DMR Paris.fr application;DEVE-SAB;A2022E002940;"{""coordinates"": [2.3337571957314145, 48.89747999539549], ""type"": ""Point""}";48.89747999539549,2.3337571957314145;2022-05
75498;Arbres, végétaux et animaux;Présence de rats;24 Rue des Blancs Manteaux, 75004 PARIS;75001;Paris 1;4;SAINT - GERVAIS;2022-06-28;2022;6;Androï;DASES;G2022F075498;"{""coordinates"": [2.3563793001651496, 48.859337000431346], ""type"": ""Point""}";48.859337000431346,2.3563793001651496;2022-06
