DOMANIALITE,ARRONDISSEMENT,GENRE,ESPECE,VARIETE OUCULTIVAR,CIRCONFERENCE (cm),HAUTEUR (m),STADE DE DEVELOPPEMENT,latitude,longitude
Alignement,12,Fraxinus,angustifolia,''Raywood'',20,5,,48.833634211417944,2.403201622303667
Alignement,13,Tilia,tomentosa,,100,10,Jeune (arbre)Adulte,48.83021957188875,2.356977963195556
Alignement,16,Gymnocladus,dioica,,20,5,,48.85993327920706,2.27397859878785
Alignement,13,Cercis,siliquastrum,,45,5,Jeune (arbre),48.82921074588111,2.356623439563528
Alignement,16,Platanus,x hispanica,,230,25,Mature,48.845079952747035,2.265873064292386
Alignement,12,Tilia,platyphyllos,,120,13,Jeune (arbre)Adulte,48.83461725313863,2.4386936002488
Alignement,15,Aesculus,x carnea,,170,15,Adulte,48.83718056991708,2.270766459773208
Alignement,19,Platanus,x hispanica,,210,20,Mature,48.88536290338497,2.39680474596148
Alignement,18,Platanus,x hispanica,,25,5,Jeune (arbre),48.897752390762754,2.3403205756905
Alignement,13,Sophora,japonica,,75,8,Jeune (arbre)Adulte,48.827189503272656,2.37491694389802
Alignement,12,Acer,platanoides,,105,12,Adulte,48.82217402456926,2.454599464516883
Alignement,16,Aesculus,hippocastanum,,116,13,Adulte,48.872317197010105,2.253854184324488
Alignement,20,Platanus,x hispanica,,180,15,Adulte,48.8680549557018,2.41090430969266
Alignement,12,Pyrus,calleryana,''Chanticleer'',70,5,Adulte,48.84508857042131,2.41221823083803
Alignement,13,Quercus,robur,''Fastigiata'',100,15,Adulte,48.81996238426348,2.35764709448313
Alignement,16,Acer,pseudoplatanus,,190,16,Adulte,48.85079009790103,2.26206647097775
Alignement,12,Platanus,x hispanica,,150,20,Adulte,48.842740430829316,2.410019964432519
Alignement,19,Acer,platanoides,,35,5,Jeune (arbre),48.89072690523038,2.375996846785463
Alignement,20,Parrotia,persica,''Vanessa'',20,5,,48.85082015431337,2.41131443994694
Alignement,13,Platanus,x hispanica,,45,6,Jeune (arbre)Adulte,48.82661391716517,2.35346424828254
Alignement,13,Platanus,x hispanica,,0,0,,48.84371247411551,2.365959364498888
Alignement,19,Tilia,tomentosa,,80,6,Jeune (arbre)Adulte,48.87671133807778,2.393339450529146
Alignement,14,Platanus,x hispanica,,65,7,Jeune (arbre),48.83183120765066,2.3401418433061
Alignement,13,Aesculus,hippocastanum,,95,8,Jeune (arbre)Adulte,48.818598380364676,2.352881140869724
Alignement,20,Acer,negundo,,65,10,Jeune (arbre)Adulte,48.86477069623062,2.400448518571596
Alignement,13,Platanus,orientalis,,160,20,Adulte,48.82110896462,2.3674367280203
