ID DECLARATION;TYPE DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE DECLARATION;MOIS DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d;mois_annee_decla
46797;Arbres, végétaux et animaux;Pied d'arbre:Végétation débordante en pied d'arbre;15 quai de la Garonne, 75019 PARIS;75019;Paris 19;19;MANIN - JAURES;2022-03-21;2022;3;Page DMR Paris.fr;DPE-STPP-DT;S2022C046797;"{""coordinates"": [2.3869276023874355, 48.89037299908345], ""type"": ""Point""}";48.89037299908345,2.3869276023874355;2022-03
43072;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence d'un animal mort;35 Rue Saint-Fargeau, 75020 PARIS;75020;Paris 20;20;TELEGRAPHE - PELLEPORT - SAINT-FARGEAU;2022-02-19;2022;2;IOPage DMR Paris.fr application;DPE-STPP-DT;A2022B043072;"{""coordinates"": [2.402738595152285, 48.87174600199254], ""type"": ""Point""}";48.87174600199254,2.402738595152285;2022-02
35950;Arbres, végétaux et animaux;Pelouse en mauvais état;4 place Félix Eboué, 75012 PARIS;75012;Paris 12;12;VALLEE DE FECAMP;2022-02-16;2022;2;Page DMR Paris.fr;;S2022B035950;"{""coordinates"": [2.3955029941254438, 48.83921999887574], ""type"": ""Point""}";48.83921999887574,2.3955029941254438;2022-02
36827;Arbres, végétaux et animaux;Pied d'arbre:Pavage ou trottoir dégradé autour d'un arbre;48 avenue des Gobelins, 75013 PARIS;75013;Paris 13;13;CROULEBARBE;2022-02-16;2022;2;Androï;DVD;G2022B036827;"{""coordinates"": [2.3532535933376044, 48.83423199835254], ""type"": ""Point""}";48.83423199835254,2.3532535933376044;2022-02
25008;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;147 Rue du Faubourg Saint-Martin, 75010 PARIS;75010;Paris 10;10;LOUIS BLANC - AQUEDUC;2022-03-11;2022;3;Androï;DEVE-SAB;G2022C025008;"{""coordinates"": [2.3607926046516363, 48.87698999580508], ""type"": ""Point""}";48.87698999580508,2.3607926046516363;2022-03
47856;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;123T Rue Didot, 75014 PARIS;75014;Paris 14;14;DIDOT - PORTE DE VANVES;2022-02-21;2022;2;IOPage DMR Paris.fr application;DEVE-SAB;A2022B047856;"{""coordinates"": [2.316343800239647, 48.82643000136278], ""type"": ""Point""}";48.82643000136278,2.316343800239647;2022-02
41622;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence de fientes d'oiseaux;41 Rue de Pali-Kao, 75020 PARIS;75020;Paris 20;20;BELLEVILLE;2022-04-18;2022;4;Androï;DPE-STPP-DT;G2022D041622;"{""coordinates"": [2.3826120017493833, 48.870800000474375], ""type"": ""Point""}";48.870800000474375,2.3826120017493833;2022-04
36145;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence d'un animal mort;11 Rue des Chaufourniers, 75019 PARIS;75019;Paris 19;19;SECRETAN;2022-04-15;2022;4;IOPage DMR Paris.fr application;DPE-STPP-DT;A2022D036145;"{""coordinates"": [2.372394798721873, 48.8786929981557], ""type"": ""Point""}";48.8786929981557,2.372394798721873;2022-04
44814;Arbres, végétaux et animaux;[] Herbes nécessitant l'organisation d'une opération de tonte spécifique;4 Rue Gustave Charpentier, 75017 PARIS;75017;Paris 17;17;TERNES - MAILLOT;2022-04-19;2022;4;Androï;DPE-STPP-Fonctionnelle;G2022D044814;"{""coordinates"": [2.282574697077753, 48.882317003509925], ""type"": ""Point""}";48.882317003509925,2.282574697077753;2022-04
47140;Arbres, végétaux et animaux;Pied d'arbre:Terre manquante dans l'entourage d'un arbre;164 Rue de Tolbiac, 75013 PARIS;75013;Paris 13;13;NATIONALE - DEUX MOULINS;2022-02-20;2022;2;Androï;DEVE-SAB;G2022B047140;"{""coordinates"": [2.353124898838051, 48.82597699705335], ""type"": ""Point""}";48.82597699705335,2.353124898838051;2022-02
67191;Arbres, végétaux et animaux;Pied d'arbre:Débordement de terre sur un trottoir;16 Rue du Clos, 75020 PARIS;75020;Paris 20;20;SAINT BLAISE;2022-04-28;2022;4;Androï;DEVE-SAB;G2022D067191;"{""coordinates"": [2.4068732031833138, 48.85713000194319], ""type"": ""Point""}";48.85713000194319,2.4068732031833138;2022-04
29303;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence d'essaim ou de nid d'insectes;12 rue Erlanger, 75016 PARIS;75016;Paris 16;16;AUTEUIL SUD;2022-04-13;2022;4;Page DMR Paris.fr;;S2022D029303;"{""coordinates"": [2.2615309060461932, 48.84703399817021], ""type"": ""Point""}";48.84703399817021,2.2615309060461932;2022-04
19482;Arbres, végétaux et animaux;Arbre à élaguer;49 Avenue de l'Observatoire, 75014 PARIS;75014;Paris 14;14;MONTPARNASSE - RASPAIL;2022-02-09;2022;2;IOPage DMR Paris.fr application;DEVE-SAB;A2022B019482;"{""coordinates"": [2.336818501667297, 48.8394279950823], ""type"": ""Point""}";48.8394279950823,2.336818501667297;2022-02
67244;Arbres, végétaux et animaux;Herbes éparses;60 Rue Condorcet, 75009 PARIS;75009;Paris 9;9;ANVERS - MONTHOLON;2022-04-28;2022;4;Androï;DPE-STPP-DT;G2022D067244;"{""coordinates"": [2.3421096963935737, 48.88038600158419], ""type"": ""Point""}";48.88038600158419,2.3421096963935737;2022-04
465;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;6 Avenue du Président Kennedy, 75016 PARIS;75016;Paris 16;16;MUETTE SUD;2022-05-01;2022;5;Androï;DEVE-SAB;G2022E000465;"{""coordinates"": [2.2878633064741027, 48.85770800191368], ""type"": ""Point""}";48.85770800191368,2.2878633064741027;2022-05
67313;Arbres, végétaux et animaux;Herbes éparses;7 place de la Sorbonne, 75005 PARIS;75005;Paris 5;5;SORBONNE;2022-04-28;2022;4;Page DMR Paris.fr;DPE-STPP-DT;S2022D067313;"{""coordinates"": [2.3419511000716557, 48.848560000389284], ""type"": ""Point""}";48.848560000389284,2.3419511000716557;2022-04
48114;Arbres, végétaux et animaux;Herbes éparses;3 allée Colette Heilbronner, 75017 PARIS;75017;Paris 17;17;MARTIN LUTHER KING;2022-04-20;2022;4;Androï;DPE-STPP-DT;G2022D048114;"{""coordinates"": [2.3118796022849994, 48.893364002971055], ""type"": ""Point""}";48.893364002971055,2.3118796022849994;2022-04
68134;Arbres, végétaux et animaux;Pied d'arbre:Entourage d'arbre en mauvais état;4  Allée Célestin Hennion, 75004 PARIS;75001;Paris 1;4;LES ILES;2022-04-28;2022;4;IOPage DMR Paris.fr application;DEVE-SAB;A2022D068134;"{""coordinates"": [2.3477200004789625, 48.85529300253262], ""type"": ""Point""}";48.85529300253262,2.3477200004789625;2022-04
48883;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence de déjections canines;4b rue Maleville, 75008 PARIS;75008;Paris 8;8;MONCEAU;2022-02-21;2022;2;Page DMR Paris.fr;DPE-STPP-DT;S2022B048883;"{""coordinates"": [2.3143754019735394, 48.87756300211789], ""type"": ""Point""}";48.87756300211789,2.3143754019735394;2022-02
62721;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;56 Rue Claude Bernard, 75005 PARIS;75005;Paris 5;5;VAL DE GRACE;2022-04-26;2022;4;Androï;;G2022D062721;"{""coordinates"": [2.3472042019744865, 48.83992799745001], ""type"": ""Point""}";48.83992799745001,2.3472042019744865;2022-04
